id,title,original_air_date,season,number_in_season,us_viewers_in_millions,imdb_rating,image_url,video_url
143,Bart the Fink,2/11/96,7,15,15,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/667/303/Simpsons_07_14.jpg,http://www.simpsonsworld.com/video/301346371709
144,Lisa the Iconoclast,2/18/96,7,16,13.4,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/2/111/Simpsons_07_15.jpg,http://www.simpsonsworld.com/video/302796355658
145,Homer the Smithers,2/25/96,7,17,14.1,8.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/213/871/Simpsons_07_16.jpg,http://www.simpsonsworld.com/video/277248579634
146,The Day the Violence Died,3/17/96,7,18,14.4,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/935/Simpsons_07_18.jpg,http://www.simpsonsworld.com/video/301668931982
147,A Fish Called Selma,3/24/96,7,19,12.9,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/275/210/Simpsons_07_17.jpg,http://www.simpsonsworld.com/video/300935235544
148,Bart on the Road,3/31/96,7,20,11.8,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/1001/35/Simpsons_07_19.jpg,http://www.simpsonsworld.com/video/277000259951
149,22 Short Films About Springfield,4/14/96,7,21,10.5,8.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/14/551/Simpsons_07_20.jpg,http://www.simpsonsworld.com/video/299588163608
150,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",4/28/96,7,22,13,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/531/87/Simpsons_07_21.jpg,http://www.simpsonsworld.com/video/279728707597
151,Much Apu About Nothing,5/5/96,7,23,11.3,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/89/991/Simpsons_07_22.jpg,http://www.simpsonsworld.com/video/310404675978
152,Homerpalooza,5/19/96,7,24,12.9,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/1008/867/Simpsons_07_23.jpg,http://www.simpsonsworld.com/video/277008451637
153,Summer of 4 Ft. 2,5/19/96,7,25,14.7,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/1013/746/Simpsons_07_24.jpg,http://www.simpsonsworld.com/video/277013571573
154,Treehouse of Horror VII,10/27/96,8,1,18.3,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/49/711/Simpsons_08_06__754432.jpg,http://www.simpsonsworld.com/video/299625027835
155,You Only Move Twice,11/3/96,8,2,13.9,9.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/357/863/Simpsons_08_01__547424.jpg,http://www.simpsonsworld.com/video/306390595776
156,The Homer They Fall,11/10/96,8,3,17,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/283/431/Simpsons_08_07__807077.jpg,http://www.simpsonsworld.com/video/288058947803
157,"Burns, Baby Burns",11/17/96,8,4,12.6,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/47/258/Simpsons_08_09.jpg,http://www.simpsonsworld.com/video/299622467514
158,Bart After Dark,11/24/96,8,5,14.1,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/558/375/Simpsons_08_10.jpg,http://www.simpsonsworld.com/video/294789699801
159,A Milhouse Divided,12/1/96,8,6,12.8,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/1024/983/Simpsons_08_08.jpg,http://www.simpsonsworld.com/video/277025347786
160,Lisa's Date with Density,12/15/96,8,7,0,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/361/767/Simpsons_08_05__410383.jpg,http://www.simpsonsworld.com/video/306394691862
161,Hurricane Neddy,12/29/96,8,8,0,8.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/297/607/Simpsons_08_11.jpg,http://www.simpsonsworld.com/video/436250179702
162,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),1/5/97,8,9,14.9,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/300/35/Simpsons_08_02.jpg,http://www.simpsonsworld.com/video/436252739905
163,The Springfield Files,1/12/97,8,10,20.9,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/306/391/Simpsons_08_03__677111.jpg,http://www.simpsonsworld.com/video/436259395954
164,The Twisted World of Marge Simpson,1/19/97,8,11,14,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/311/271/Simpsons_08_12.jpg,http://www.simpsonsworld.com/video/436264515927
165,Mountain of Madness,2/2/97,8,12,9.1,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/313/723/Simpsons_08_14.jpg,http://www.simpsonsworld.com/video/436267075791
166,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,2/7/97,8,13,17.7,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/318/103/Simpsons_08_04.jpg,http://www.simpsonsworld.com/video/436271683676
167,The Itchy & Scratchy & Poochie Show,2/9/97,8,14,15.5,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/324/459/Simpsons_08_16.jpg,http://www.simpsonsworld.com/video/436278339668
168,Homer's Phobia,2/16/97,8,15,15.3,8.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/330/815/Simpsons_08_15.jpg,http://www.simpsonsworld.com/video/436284995621
169,Brother from Another Series,2/23/97,8,16,15.1,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/341/551/Simpsons_08_18.jpg,http://www.simpsonsworld.com/video/436296259771
170,"My Sister, My Sitter",3/2/97,8,17,15.1,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/346/931/Simpsons_08_17.jpg,http://www.simpsonsworld.com/video/436301891875
171,Homer vs. the Eighteenth Amendment,3/16/97,8,18,14.6,8.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/443/103/Simpsons_08_19.jpg,http://www.simpsonsworld.com/video/436402755605
172,Grade School Confidential,4/6/97,8,19,13.3,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/452/887/Simpsons_08_13.jpg,http://www.simpsonsworld.com/video/436412995642
173,The Canine Mutiny,4/13/97,8,20,0,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/412/347/Simpsons_08_20.jpg,http://www.simpsonsworld.com/video/436370499586
174,The Old Man and the Lisa,4/20/97,8,21,14,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/425/35/Simpsons_08_21.jpg,http://www.simpsonsworld.com/video/436383811985
175,In Marge We Trust,4/27/97,8,22,16.9,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/477/287/Simpsons_08_22__537898.jpg,http://www.simpsonsworld.com/video/436438595644
176,Homer's Enemy,5/4/97,8,23,11.8,9.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/504/139/Simpsons_08_23__999359.jpg,http://www.simpsonsworld.com/video/436466755640
177,The Simpsons Spin-Off Showcase,5/11/97,8,24,11.6,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/517/827/Simpsons_08_24__923857.jpg,http://www.simpsonsworld.com/video/436481091875
178,The Secret War of Lisa Simpson,5/18/97,8,25,12.7,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/530/1014/Simpsons_08_25__334287.jpg,http://www.simpsonsworld.com/video/436494915559
179,The City of New York vs. Homer Simpson,9/21/97,9,1,10.5,9.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/551/1011/Simpsons_09_03.jpg,http://www.simpsonsworld.com/video/436516931611
180,The Principal and the Pauper,9/28/97,9,2,14.9,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/540/775/Simpsons_09_04.jpg,http://www.simpsonsworld.com/video/436505155662
181,Lisa's Sax,10/19/97,9,3,12.9,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/545/251/Simpsons_09_01.jpg,http://www.simpsonsworld.com/video/279743555749
182,Treehouse of Horror VIII,10/26/97,9,4,10.9,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/1022/879/Simpsons_09_07__865868.jpg,http://www.simpsonsworld.com/video/279170627965
183,The Cartridge Family,11/2/97,9,5,10.3,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/18/227/Simpsons_09_06.jpg,http://www.simpsonsworld.com/video/302813251779
184,Bart Star,11/9/97,9,6,10.6,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/518/967/Simpsons_09_08.jpg,http://www.simpsonsworld.com/video/448293443714
185,The Two Mrs. Nahasapeemapetilons,11/16/97,9,7,11.4,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/5/210/Simpsons_09_09.jpg,http://www.simpsonsworld.com/video/279177283545
186,Lisa the Skeptic,11/23/97,9,8,9.3,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/8/138/Simpsons_09_10.jpg,http://www.simpsonsworld.com/video/279180355540
187,Realty Bites,12/7/97,9,9,10.6,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/151/630/Simpsons_09_11.jpg,http://www.simpsonsworld.com/video/280404547525
188,Miracle on Evergreen Terrace,12/21/97,9,10,9.6,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/825/631/Simpsons_09_12__814973.jpg,http://www.simpsonsworld.com/video/306881091696
189,"All Singing, All Dancing",1/4/98,9,11,8.9,5.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/575/966/Simpsons_09_25.jpg,http://www.simpsonsworld.com/video/294808131518
190,Bart Carny,1/11/98,9,12,11.7,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/23/107/Simpsons_BartCarny.jpg,http://www.simpsonsworld.com/video/302818371931
191,The Joy of Sect,2/8/98,9,13,9.4,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/51/663/Simpsons_09_24.jpg,http://www.simpsonsworld.com/video/299627075941
192,Das Bus,2/15/98,9,14,9.6,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/579/503/Simpsons_09_16.jpg,http://www.simpsonsworld.com/video/448356931860
193,The Last Temptation of Krust,2/22/98,9,15,9.5,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/580/347/Simpsons_09_15.jpg,http://www.simpsonsworld.com/video/294812739638
194,Dumbbell Indemnity,3/1/98,9,16,10.3,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/422/899/Simpsons_09_17.jpg,http://www.simpsonsworld.com/video/283910211639
195,Lisa the Simpson,3/8/98,9,17,10.4,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/74/611/Simpsons_09_05.jpg,http://www.simpsonsworld.com/video/299651139676
196,This Little Wiggy,3/22/98,9,18,8.9,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/63/875/Simpsons_09_18.jpg,http://www.simpsonsworld.com/video/299639875678
197,Simpson Tide,3/29/98,9,19,9,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/14/823/Simpsons_09_02.jpg,http://www.simpsonsworld.com/video/302809667837
198,The Trouble with Trillions,4/5/98,9,20,7.4,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/68/255/Simpsons_09_19.jpg,http://www.simpsonsworld.com/video/299644483816
199,Girly Edition,4/19/98,9,21,8.5,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/94/631/Simpsons_09_20.jpg,http://www.simpsonsworld.com/video/299672131928
200,Trash of the Titans,4/26/98,9,22,10.2,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/12/67/Simpsons_09_14.jpg,http://www.simpsonsworld.com/video/307101763818
201,King of the Hill,5/3/98,9,23,9.2,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/493/199/Simpsons_09_21.jpg,http://www.simpsonsworld.com/video/467593795648
202,Lost Our Lisa,5/10/98,9,24,7.6,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/494/675/Simpsons_09_22__246040.jpg,http://www.simpsonsworld.com/video/467595331852
203,Natural Born Kissers,5/17/98,9,25,8.6,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/499/55/Simpsons_09_23.jpg,http://www.simpsonsworld.com/video/467599939876
204,Lard of the Dance,8/23/98,10,1,7,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/835/878/Simpsons_10_02.jpg,http://www.simpsonsworld.com/video/292933187533
205,The Wizard of Evergreen Terrace,9/20/98,10,2,7.95,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/641/266/Simpsons_10_03.jpg,http://www.simpsonsworld.com/video/473117763575
206,Bart the Mother,9/27/98,10,3,7.35,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/633/458/Simpsons_10_04.jpg,http://www.simpsonsworld.com/video/473109571557
207,Treehouse of Horror IX,10/25/98,10,4,8.5,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/652/1003/Simpsons_10_05__447850.jpg,http://www.simpsonsworld.com/video/473130051681
208,When You Dish Upon a Star,11/8/98,10,5,9,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/669/595/Simpsons_10_01.jpg,http://www.simpsonsworld.com/video/473147459674
209,D'oh-in' in the Wind,11/15/98,10,6,8.3,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/660/811/Simpsons_10_06.jpg,http://www.simpsonsworld.com/video/473138243754
210,"Lisa Gets an ""A""",11/22/98,10,7,8,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/674/475/Simpsons_10_07.jpg,http://www.simpsonsworld.com/video/473152579638
211,"Homer Simpson in: ""Kidney Trouble""",12/6/98,10,8,7.2,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/679/855/Simpsons_10_08.jpg,http://www.simpsonsworld.com/video/473158211896
212,Mayored to the Mob,12/20/98,10,9,8.5,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/685/211/Simpsons_10_09.jpg,http://www.simpsonsworld.com/video/473163843671
213,Viva Ned Flanders,1/10/99,10,10,11.5,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/638/839/Simpsons_10_10.jpg,http://www.simpsonsworld.com/video/473115203586
214,Wild Barts Can't Be Broken,1/17/99,10,11,8.8,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/677/402/Simpsons_10_11.jpg,http://www.simpsonsworld.com/video/473155651508
215,"Sunday, Cruddy Sunday",1/31/99,10,12,11.5,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/655/431/Simpsons_10_12.jpg,http://www.simpsonsworld.com/video/473132611959
216,Homer to the Max,2/7/99,10,13,8.3,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/663/239/Simpsons_10_13.jpg,http://www.simpsonsworld.com/video/473140803870
217,I'm with Cupid,2/14/99,10,14,7.7,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/629/55/Simpsons_10_15.jpg,http://www.simpsonsworld.com/video/473104963819
218,"Marge Simpson in: ""Screaming Yellow Honkers""",2/21/99,10,15,8.6,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/622/223/Simpsons_10_14.jpg,http://www.simpsonsworld.com/video/473097795997
219,Make Room for Lisa,2/28/99,10,16,7.6,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/617/843/Simpsons_10_16.jpg,http://www.simpsonsworld.com/video/473093187636
220,Maximum Homerdrive,3/28/99,10,17,15.5,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/619/795/Simpsons_10_17.jpg,http://www.simpsonsworld.com/video/473095235738
221,Simpsons Bible Stories,4/4/99,10,18,12.2,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/100/486/Simpsons_10_18.jpg,http://www.simpsonsworld.com/video/299678275566
222,Mom and Pop Art,4/11/99,10,19,8.5,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/140/267/Simpsons_10_19.jpg,http://www.simpsonsworld.com/video/310457411688
223,"The Old Man and the ""C"" Student",4/25/99,10,20,6.9,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/558/439/Simpsons_10_20.jpg,http://www.simpsonsworld.com/video/279757379586
224,Monty Can't Buy Me Love,5/2/99,10,21,7.26,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/111/463/Simpsons_10_21.jpg,http://www.simpsonsworld.com/video/310427203648
225,They Saved Lisa's Brain,5/9/99,10,22,6.8,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/813/919/Simpsons_10_22.jpg,http://www.simpsonsworld.com/video/306868803826
226,Thirty Minutes over Tokyo,5/16/99,10,23,8,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/845/151/Simpsons_10_23.jpg,http://www.simpsonsworld.com/video/306901571847
227,Beyond Blunderdome,9/26/99,11,1,8.1,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/849/555/Simpsons_11_04.jpg,http://www.simpsonsworld.com/video/306906179700
228,Brother's Little Helper,10/3/99,11,2,7.1,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/37/271/Simpsons_11_03.jpg,http://www.simpsonsworld.com/video/302833219678
229,Guess Who's Coming to Criticize Dinner?,10/24/99,11,3,6.7,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/854/935/Simpsons_11_02__034371.jpg,http://www.simpsonsworld.com/video/306911811691
230,Treehouse of Horror X,10/31/99,11,4,8.7,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/727/407/Simpsons_11_05__484493.jpg,http://www.simpsonsworld.com/video/307851843709
231,E-I-E-I-(Annoyed Grunt),11/7/99,11,5,8.4,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/50/959/Simpsons_11_01.jpg,http://www.simpsonsworld.com/video/302847555697
232,"Hello Gutter, Hello Fadder",11/14/99,11,6,9.2,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/532/499/Simpsons_11_06.jpg,http://www.simpsonsworld.com/video/294762563857
233,Eight Misbehavin',11/21/99,11,7,9.2,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/862/743/Simpsons_11_07.jpg,http://www.simpsonsworld.com/video/306920003903
234,"Take My Wife, Sleaze",11/28/99,11,8,8.9,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/950/1010/Simpsons_11_09.jpg,http://www.simpsonsworld.com/video/301643843522
235,Grift of the Magi,12/19/99,11,9,7.76,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/953/938/Simpsons_11_11__658839.jpg,http://www.simpsonsworld.com/video/301646915513
236,Little Big Mom,1/9/00,11,10,10,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/244/955/Simpsons_11_08.jpg,http://www.simpsonsworld.com/video/300903491898
237,Faith Off,1/16/00,11,11,10.4,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/250/311/Simpsons_11_10.jpg,http://www.simpsonsworld.com/video/300909123775
238,The Mansion Family,1/23/00,11,12,11.3,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/549/155/Simpsons_11_12.jpg,http://www.simpsonsworld.com/video/279747651734
239,Saddlesore Galactica,2/6/00,11,13,9.6,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/869/74/Simpsons_11_13.jpg,http://www.simpsonsworld.com/video/306926659533
240,"Alone Again, Natura-diddily",2/13/00,11,14,10.8,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/301/499/Simpsons_11_14.jpg,http://www.simpsonsworld.com/video/288077891629
241,Missionary: Impossible,2/20/00,11,15,9.8,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/141/243/Simpsons_11_15.jpg,http://www.simpsonsworld.com/video/310458435665
242,Pygmoelian,2/27/00,11,16,9.4,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/528/595/Simpsons_11_16.jpg,http://www.simpsonsworld.com/video/294758467783
243,Bart to the Future,3/19/00,11,17,8.77,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/39/223/Simpsons_11_17.jpg,http://www.simpsonsworld.com/video/302835267686
244,Days of Wine and D'oh'ses,4/9/00,11,18,8.3,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/872/1003/Simpsons_11_18.jpg,http://www.simpsonsworld.com/video/306930755636
245,Kill the Alligator and Run,4/30/00,11,19,7.46,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/838/307/Simpsons_11_20.jpg,http://www.simpsonsworld.com/video/292935747924
246,Last Tap Dance in Springfield,5/7/00,11,20,7.3,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/52/410/Simpsons_11_19.jpg,http://www.simpsonsworld.com/video/302849091512
247,"It's a Mad, Mad, Mad, Mad Marge",5/14/00,11,21,7.5,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/989/75/Simpsons_11_21.jpg,http://www.simpsonsworld.com/video/301683779737
248,Behind the Laughter,5/21/00,11,22,8.3,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/553/59/Simpsons_11_22.jpg,http://www.simpsonsworld.com/video/279751747780
249,Treehouse of Horror XI,11/1/00,12,1,13.2,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/534/951/Simpsons_12_03__536295.jpg,http://www.simpsonsworld.com/video/294765123660
250,A Tale of Two Springfields,11/5/00,12,2,16.2,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/252/263/Simpsons_12_02.jpg,http://www.simpsonsworld.com/video/300911171880
251,Insane Clown Poppy,11/12/00,12,3,16.4,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/876/906/Simpsons_12_01.jpg,http://www.simpsonsworld.com/video/306934851515
252,Lisa the Tree Hugger,11/19/00,12,4,14.9,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/881/786/Simpsons_12_05.jpg,http://www.simpsonsworld.com/video/306939971530
253,Homer vs. Dignity,11/26/00,12,5,15,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/272/1023/Simpsons_12_08.jpg,http://www.simpsonsworld.com/video/311670339999
254,The Computer Wore Menace Shoes,12/3/00,12,6,15.6,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/47/531/Simpsons_12_06.jpg,http://www.simpsonsworld.com/video/302843971598
255,The Great Money Caper,12/10/00,12,7,16.8,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/561/119/Simpsons_12_07.jpg,http://www.simpsonsworld.com/video/304456259863
256,Skinner's Sense of Snow,12/17/00,12,8,15.9,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/726/431/Simpsons_12_10.jpg,http://www.simpsonsworld.com/video/307850819951
257,HOMR,1/7/01,12,9,18.5,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/887/143/Simpsons_12_04.jpg,http://www.simpsonsworld.com/video/306945603638
258,Pokey Mom,1/14/01,12,10,15,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/48/507/Simpsons_12_09.jpg,http://www.simpsonsworld.com/video/302844995961
259,Worst Episode Ever,2/4/01,12,11,18.5,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/142/718/Simpsons_12_12__493414.jpg,http://www.simpsonsworld.com/video/310459971509
260,Tennis the Menace,2/11/01,12,12,14,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/257/143/Simpsons_12_11.jpg,http://www.simpsonsworld.com/video/300916291603
261,Day of the Jackanapes,2/18/01,12,13,15.4,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/16/971/Simpsons_12_14__355949.jpg,http://www.simpsonsworld.com/video/307106883649
262,New Kids on the Blecch,2/25/01,12,14,18.1,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/121/223/Simpsons_12_16.jpg,http://www.simpsonsworld.com/video/310437443723
263,"Hungry, Hungry Homer",3/4/01,12,15,17.6,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/726/431/Simpsons_12_13.jpg,http://www.simpsonsworld.com/video/307850819931
264,"Bye, Bye, Nerdie",3/11/01,12,16,16.1,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/49/483/Simpsons_12_15__389134.jpg,http://www.simpsonsworld.com/video/302846019892
265,Simpson Safari,4/1/01,12,17,13.3,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/48/1007/Simpsons_12_17.jpg,http://www.simpsonsworld.com/video/302845507908
266,Trilogy of Error,4/29/01,12,18,14.4,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/46/555/Simpsons_12_18.jpg,http://www.simpsonsworld.com/video/302842947994
267,I'm Goin' to Praiseland,5/6/01,12,19,13.1,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/51/935/Simpsons_12_19.jpg,http://www.simpsonsworld.com/video/302848579632
268,Children of a Lesser Clod,5/13/01,12,20,13.8,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/959/294/Simpsons_12_20.jpg,http://www.simpsonsworld.com/video/301652547508
269,Simpsons Tall Tales,5/20/01,12,21,13.4,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/990/551/Simpsons_12_21.jpg,http://www.simpsonsworld.com/video/301685315594
270,Treehouse of Horror XII,11/6/01,13,1,13,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/24/779/treehouse.jpg,http://www.simpsonsworld.com/video/307115075729
271,The Parent Rap,11/11/01,13,2,14.9,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/25/755/Simpsons_13_05.jpg,http://www.simpsonsworld.com/video/307116099877
272,Homer the Moe,11/18/01,13,3,14.4,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/258/619/homer_the_moe.jpg,http://www.simpsonsworld.com/video/300917827935
273,A Hunka Hunka Burns in Love,12/2/01,13,4,13.4,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/665/351/hunk_a_hunk.jpg,http://www.simpsonsworld.com/video/301344323882
274,The Blunder Years,12/9/01,13,5,12.9,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/99/783/the_blunder_eyars.jpg,http://www.simpsonsworld.com/video/302898755902
275,She of Little Faith,12/16/01,13,6,13.2,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/342/515/she_of_little_faith.jpg,http://www.simpsonsworld.com/video/288120899968
276,Brawl in the Family,1/6/02,13,7,11.8,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/658/811/brawl_in_the_family.jpg,http://www.simpsonsworld.com/video/283083843778
277,Sweets and Sour Marge,1/20/02,13,8,12.3,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/94/902/sweet_and_sour_marge.jpg,http://www.simpsonsworld.com/video/302893635523
278,Jaws Wired Shut,1/27/02,13,9,14.2,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/123/674/jaws_wired_shut.jpg,http://www.simpsonsworld.com/video/310440003514
279,Half-Decent Proposal,2/10/02,13,10,13.2,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/990/51/half_decent.jpg,http://www.simpsonsworld.com/video/301684803770
280,The Bart Wants What It Wants,2/17/02,13,11,11.2,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/32/87/the_bart_wants_what.jpg,http://www.simpsonsworld.com/video/307122755675
281,The Lastest Gun in the West,2/24/02,13,12,13.2,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/100/258/the_lastest_gun.jpg,http://www.simpsonsworld.com/video/302899267542
282,The Old Man and the Key,3/10/02,13,13,14.5,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/965/651/the_old_man_and_the_key.jpg,http://www.simpsonsworld.com/video/301659203973
283,Tales from the Public Domain,3/17/02,13,14,11.7,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/96/823/tales_from_public_domain.jpg,http://www.simpsonsworld.com/video/310411843752
284,Blame It on Lisa,3/31/02,13,15,11.1,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/971/507/blame_it_on_lisa.jpg,http://www.simpsonsworld.com/video/301665347899
